service,fault_type,capability_id,capability,n_reps,max_magnitude,value_per_min,weighted_max_magnitude
ts-train-service,mem,contact_management,Contact Management,3,0.0,20.0,0.0
ts-train-service,mem,food_ordering,Food Ordering,3,0.0,15.0,0.0
ts-train-service,mem,admin_configuration,Admin Configuration,3,0.988105352591334,5.0,4.9405267629566705
ts-train-service,socket,ticket_reservation,Ticket Reservation,3,0.916701374427322,100.0,91.6701374427322
ts-train-service,socket,payment_processing,Payment Processing,3,0.0,100.0,0.0
ts-train-service,socket,user_authentication,User Authentication,3,0.0,70.0,0.0
ts-train-service,socket,trip_search,Trip Search,3,0.8287803532008831,60.0,49.72682119205298
ts-train-service,socket,order_management,Order Management,3,0.9694189602446484,40.0,38.776758409785934
ts-train-service,socket,baggage_consignment,Baggage Consignment,3,0.0,30.0,0.0
ts-train-service,socket,travel_insurance,Travel Insurance / Assurance,3,0.0,25.0,0.0
ts-train-service,socket,contact_management,Contact Management,3,0.0,20.0,0.0
ts-train-service,socket,food_ordering,Food Ordering,3,0.0,15.0,0.0
ts-train-service,socket,admin_configuration,Admin Configuration,3,0.9790647790647792,5.0,4.895323895323896
ts-travel-service,cpu,ticket_reservation,Ticket Reservation,3,0.999031007751938,100.0,99.90310077519379
ts-travel-service,cpu,payment_processing,Payment Processing,3,0.0,100.0,0.0
ts-travel-service,cpu,user_authentication,User Authentication,3,0.0,70.0,0.0
ts-travel-service,cpu,trip_search,Trip Search,3,0.6713596366732899,60.0,40.28157820039739
ts-travel-service,cpu,order_management,Order Management,3,0.9682432432432432,40.0,38.729729729729726
ts-travel-service,cpu,baggage_consignment,Baggage Consignment,3,0.0,30.0,0.0
ts-travel-service,cpu,travel_insurance,Travel Insurance / Assurance,3,0.0,25.0,0.0
ts-travel-service,cpu,contact_management,Contact Management,3,0.0,20.0,0.0
ts-travel-service,cpu,food_ordering,Food Ordering,3,0.7187100711329786,15.0,10.780651066994679
ts-travel-service,cpu,admin_configuration,Admin Configuration,3,1.0,5.0,5.0
ts-travel-service,delay,ticket_reservation,Ticket Reservation,3,1.0,100.0,100.0
ts-travel-service,delay,payment_processing,Payment Processing,3,0.294876660341556,100.0,29.487666034155602
ts-travel-service,delay,user_authentication,User Authentication,3,0.0,70.0,0.0
ts-travel-service,delay,trip_search,Trip Search,3,1.0,60.0,60.0
ts-travel-service,delay,order_management,Order Management,3,0.8512585812356979,40.0,34.05034324942791
ts-travel-service,delay,baggage_consignment,Baggage Consignment,3,0.0,30.0,0.0
ts-travel-service,delay,travel_insurance,Travel Insurance / Assurance,3,0.0,25.0,0.0
ts-travel-service,delay,contact_management,Contact Management,3,0.0,20.0,0.0
ts-travel-service,delay,food_ordering,Food Ordering,3,1.0,15.0,15.0
ts-travel-service,delay,admin_configuration,Admin Configuration,3,1.0,5.0,5.0
ts-travel-service,disk,ticket_reservation,Ticket Reservation,3,0.4339393939393938,100.0,43.39393939393938
ts-travel-service,disk,payment_processing,Payment Processing,3,0.0,100.0,0.0
ts-travel-service,disk,user_authentication,User Authentication,3,0.0,70.0,0.0
ts-travel-service,disk,trip_search,Trip Search,3,0.3993539518900344,60.0,23.961237113402063
ts-travel-service,disk,order_management,Order Management,3,0.7980769230769231,40.0,31.923076923076927
ts-travel-service,disk,baggage_consignment,Baggage Consignment,3,0.0,30.0,0.0
ts-travel-service,disk,travel_insurance,Travel Insurance / Assurance,3,0.0,25.0,0.0
ts-travel-service,disk,contact_management,Contact Management,3,0.0,20.0,0.0
ts-travel-service,disk,food_ordering,Food Ordering,3,0.2797175141242938,15.0,4.195762711864407
ts-travel-service,disk,admin_configuration,Admin Configuration,3,0.3841018475392019,5.0,1.9205092376960096
ts-travel-service,loss,ticket_reservation,Ticket Reservation,3,0.9722222222222224,100.0,97.22222222222224
ts-travel-service,loss,payment_processing,Payment Processing,3,0.0,100.0,0.0
ts-travel-service,loss,user_authentication,User Authentication,3,0.0,70.0,0.0
ts-travel-service,loss,trip_search,Trip Search,3,0.8238866396761133,60.0,49.4331983805668
ts-travel-service,loss,order_management,Order Management,3,0.8773284870513403,40.0,35.09313948205361
ts-travel-service,loss,baggage_consignment,Baggage Consignment,3,0.0,30.0,0.0
ts-travel-service,loss,travel_insurance,Travel Insurance / Assurance,3,0.0,25.0,0.0
ts-travel-service,loss,contact_management,Contact Management,3,0.0,20.0,0.0
ts-travel-service,loss,food_ordering,Food Ordering,3,0.2324234904880067,15.0,3.4863523573201007
ts-travel-service,loss,admin_configuration,Admin Configuration,3,0.7206394428616651,5.0,3.6031972143083255
ts-travel-service,mem,ticket_reservation,Ticket Reservation,3,1.0,100.0,100.0
ts-travel-service,mem,payment_processing,Payment Processing,3,0.0,100.0,0.0
ts-travel-service,mem,user_authentication,User Authentication,3,0.0,70.0,0.0
ts-travel-service,mem,trip_search,Trip Search,3,0.9039891145625912,60.0,54.23934687375547
ts-travel-service,mem,order_management,Order Management,3,0.927115987460815,40.0,37.0846394984326
ts-travel-service,mem,baggage_consignment,Baggage Consignment,3,0.0,30.0,0.0
ts-travel-service,mem,travel_insurance,Travel Insurance / Assurance,3,0.0,25.0,0.0
ts-travel-service,mem,contact_management,Contact Management,3,0.0,20.0,0.0
ts-travel-service,mem,food_ordering,Food Ordering,3,0.8315729522626074,15.0,12.47359428393911
ts-travel-service,mem,admin_configuration,Admin Configuration,3,0.9992371071101618,5.0,4.996185535550809
ts-travel-service,socket,ticket_reservation,Ticket Reservation,3,0.9827586206896552,100.0,98.27586206896552
ts-travel-service,socket,payment_processing,Payment Processing,3,0.0,100.0,0.0
ts-travel-service,socket,user_authentication,User Authentication,3,0.0,70.0,0.0
ts-travel-service,socket,trip_search,Trip Search,3,0.9367236467236468,60.0,56.20341880341881
ts-travel-service,socket,order_management,Order Management,3,0.9631687242798356,40.0,38.52674897119342
ts-travel-service,socket,baggage_consignment,Baggage Consignment,3,0.0,30.0,0.0
ts-travel-service,socket,travel_insurance,Travel Insurance / Assurance,3,0.0,25.0,0.0
ts-travel-service,socket,contact_management,Contact Management,3,0.0,20.0,0.0
ts-travel-service,socket,food_ordering,Food Ordering,3,0.8606738470035902,15.0,12.910107705053854
ts-travel-service,socket,admin_configuration,Admin Configuration,3,0.992979242979243,5.0,4.964896214896215
