scenario_id,k,method,cbl,cbl_oracle,aulc_normalized,kendalls_tau,mrr,precision_at_3,ndcg_1,ndcg_3,ndcg_5
scenario_k10_001,10,B3_itil,1471.9305980623783,2695.2714649121062,28.436653784051078,-0.1111111111111111,1.0,0.3333333333333333,1.0,1.0,1.0
scenario_k10_001,10,B4_pagerank,2306.287393882169,2695.2714649121062,9.04196504435735,-0.06666666666666667,0.25,0.0,0.16168734455167588,0.5582021246059413,0.6334888588834731
scenario_k10_001,10,B6_ppr,2416.1285074624066,2695.2714649121062,6.488699799340785,-0.06666666666666667,0.25,0.0,0.9061209792424857,0.5352759800028891,0.617303632672212
scenario_k10_001,10,B7_classifier,1559.7091521464747,2695.2714649121062,26.396234453842705,-0.15555555555555553,1.0,0.3333333333333333,1.0,0.9610253733496299,0.9919348348387812
scenario_k10_001,10,B9_independent,1820.6941344290422,2695.2714649121062,20.329618202300676,-0.4222222222222222,0.3333333333333333,0.3333333333333333,0.498551035892735,0.7816006074276394,0.7787149408537438
scenario_k10_002,10,BLAST,1716.8213032672088,2412.3002722093524,-6.704278597499773,-0.022222222222222223,0.3333333333333333,0.6666666666666666,0.8708027706465205,0.9660952639821627,0.8803220518440467
scenario_k10_002,10,B1_random,2798.98370748909,2412.3002722093524,3.7275512199841905,0.15555555555555553,0.1111111111111111,0.3333333333333333,0.999935620593863,0.6063619874160375,0.49794612300191066
scenario_k10_002,10,B2_severity,1475.5215063017106,2412.3002722093524,-9.030360530412125,0.19999999999999998,0.5,0.6666666666666666,0.999935620593863,0.9999885322366757,0.9999911345690565
scenario_k10_002,10,B3_itil,1475.5215063017106,2412.3002722093524,-9.030360530412125,0.19999999999999998,0.5,0.6666666666666666,0.999935620593863,0.9999885322366757,0.9999911345690565
scenario_k10_002,10,B4_pagerank,2385.364178688586,2412.3002722093524,-0.25965857107973855,-0.24444444444444444,0.14285714285714285,0.0,0.25363032131810653,0.6011642543807976,0.6546098511162872
scenario_k10_002,10,B6_ppr,2498.0180386156876,2412.3002722093524,0.8263021779329818,-0.24444444444444444,0.14285714285714285,0.0,0.8821027327598281,0.5517617046471337,0.5872346505786101
scenario_k10_002,10,B7_classifier,1505.9513603502564,2412.3002722093524,-8.73702280442306,-0.06666666666666667,0.25,0.3333333333333333,0.999935620593863,0.9613605529187519,0.9908898445206579
scenario_k10_002,10,B9_independent,1717.6653371443722,2412.3002722093524,-6.696142279205579,-0.06666666666666667,0.5,0.6666666666666666,0.6027019651513895,0.8367033358948976,0.8233742387335342
scenario_k10_003,10,BLAST,1737.614172239883,2696.2895203127014,16.35110072363972,-0.19999999999999998,0.5,0.3333333333333333,0.860575931702971,0.9549946820478579,0.8589804501131543
scenario_k10_003,10,B1_random,1955.6308761943976,2696.2895203127014,12.632622833327435,-0.24444444444444444,0.25,0.0,0.0,0.5144239471791752,0.5856605672241589
scenario_k10_003,10,B2_severity,1395.8872391698624,2696.2895203127014,22.179571763226708,-0.1111111111111111,1.0,0.3333333333333333,1.0,1.0,1.0
scenario_k10_003,10,B3_itil,1395.8872391698624,2696.2895203127014,22.179571763226708,-0.1111111111111111,1.0,0.3333333333333333,1.0,1.0,1.0
scenario_k10_003,10,B4_pagerank,2331.714373940166,2696.2895203127014,6.218168592377558,-0.06666666666666667,0.25,0.0,0.16244369170320783,0.5606518715274293,0.6274442838048312
scenario_k10_003,10,B6_ppr,2459.926624605123,2696.2895203127014,4.031389273558546,-0.06666666666666667,0.25,0.0,0.91035966609515,0.5351168049237137,0.5782609106845049
scenario_k10_003,10,B7_classifier,1452.9071639588728,2696.2895203127014,21.20704385234039,-0.15555555555555553,1.0,0.3333333333333333,1.0,0.9629958333999,0.9925126390478762
scenario_k10_003,10,B9_independent,1739.5992634313466,2696.2895203127014,16.317243144968817,-0.4222222222222222,0.3333333333333333,0.3333333333333333,0.5656771795140472,0.8128913372986172,0.7957832964485739
scenario_k10_004,10,BLAST,1891.3287325305307,2678.0283155429306,6.231514210041712,-0.19999999999999998,0.5,0.3333333333333333,0.8816267818944901,0.9466810723784173,0.9134807820644026
scenario_k10_004,10,B1_random,2586.3534418522468,2678.0283155429306,0.7261644602883578,-0.37777777777777777,0.1111111111111111,0.0,0.22037392690614135,0.38888082506683325,0.48402819065187463
scenario_k10_004,10,B2_severity,1814.2675903739992,2678.0283155429306,6.841922061729745,-0.1111111111111111,1.0,0.3333333333333333,1.0,1.0,0.999559007798946
scenario_k10_004,10,B3_itil,1710.4705044280038,2678.0283155429306,7.664107594810416,-0.19999999999999998,1.0,0.3333333333333333,1.0,1.0,0.999559007798946
scenario_k10_004,10,B4_pagerank,2297.3675424435205,2678.0283155429306,3.0152463125648423,-0.06666666666666667,0.25,0.0,0.99139482809514,0.945514994368448,0.88343590445236
scenario_k10_004,10,B6_ppr,2404.8132133509644,2678.0283155429306,2.164160028136688,-0.06666666666666667,0.25,0.0,0.91035966609515,0.7756288271287991,0.7505925494277983
scenario_k10_004,10,B7_classifier,1814.150332655648,2678.0283155429306,6.842850870075294,0.022222222222222223,0.5,0.3333333333333333,0.99139482809514,0.9789344964173068,0.9950984955179978
scenario_k10_004,10,B9_independent,1844.5785612599748,2678.0283155429306,6.6018262870849265,-0.4222222222222222,0.3333333333333333,0.3333333333333333,0.5008831767101646,0.7668400977551472,0.8372436528818004
