value_model,scenario_id,k,cbl_blast,cbl_b9,ndcg5_blast,ndcg5_b9
uniform,scenario_k3_001,3,19.019878747404857,19.019878747404857,0.8692271097543772,0.8692271097543772
uniform,scenario_k3_002,3,17.253223815801512,17.253223815801512,1.0,1.0
uniform,scenario_k3_003,3,18.618420934445965,20.8053783527865,0.9803454279688559,0.9587185919398805
uniform,scenario_k3_004,3,19.87905502960195,19.87905502960195,0.9834955554677325,0.9834955554677325
uniform,scenario_k3_005,3,7.131598081125307,7.131598081125307,1.0,1.0
uniform,scenario_k3_006,3,10.418642528774393,10.418642528774393,1.0,1.0
uniform,scenario_k3_007,3,19.81835761039184,20.31186798158917,0.9821206356280991,0.9180383944461146
uniform,scenario_k3_008,3,8.187227947058052,8.187227947058052,1.0,1.0
uniform,scenario_k3_009,3,20.433262820009396,20.433262820009396,0.9736138244001903,0.9736138244001903
uniform,scenario_k3_010,3,8.524981516767316,8.524981516767316,1.0,1.0
uniform,scenario_k3_011,3,6.67521972588526,6.67521972588526,0.9930787036153429,0.9930787036153429
uniform,scenario_k3_012,3,9.891592043601104,9.891592043601104,1.0,1.0
uniform,scenario_k3_013,3,9.018574571772252,9.018574571772252,1.0,1.0
uniform,scenario_k3_014,3,13.055030307873572,15.267940084707094,1.0,0.9231665259896455
uniform,scenario_k3_015,3,10.49292578137876,10.49292578137876,1.0,1.0
uniform,scenario_k3_016,3,9.54566010415368,9.54566010415368,0.9905115570223334,0.9905115570223334
uniform,scenario_k3_017,3,8.835217100160428,8.835217100160428,0.9890014411808737,0.9890014411808737
uniform,scenario_k3_018,3,18.150785232195584,20.91798048898259,1.0,0.973131938785581
uniform,scenario_k3_019,3,8.39190712925912,8.39190712925912,1.0,1.0
uniform,scenario_k3_020,3,7.937650048403948,7.937650048403948,1.0,1.0
uniform,scenario_k3_021,3,7.710879248853161,7.710879248853161,1.0,1.0
uniform,scenario_k3_022,3,19.661817769380693,19.661817769380693,0.9843956292881317,0.9843956292881317
uniform,scenario_k3_023,3,14.700915774233357,14.700915774233357,0.9655042148763727,0.9655042148763727
uniform,scenario_k3_024,3,13.620403804108783,13.620403804108783,1.0,1.0
uniform,scenario_k3_025,3,19.851552587590902,19.851552587590902,0.9497725112148103,0.9497725112148103
uniform,scenario_k3_026,3,5.750189162401256,5.750189162401256,1.0,1.0
uniform,scenario_k3_027,3,17.69935436550962,17.1584935425406,0.9801757847619017,1.0
uniform,scenario_k3_028,3,15.161102011493073,15.168344630199147,1.0,0.9997767512299808
uniform,scenario_k3_029,3,15.216209405378613,15.216209405378613,0.9745025603670561,0.9745025603670561
uniform,scenario_k3_030,3,13.357287924310901,13.357287924310901,0.9392745433486194,0.9392745433486194
uniform,scenario_k5_001,5,23.544736967544477,23.59652954944393,0.9721705542839123,0.9911088228624082
uniform,scenario_k5_002,5,22.93850037148291,25.535534208747315,0.9669830104731164,0.9589831848091712
uniform,scenario_k5_003,5,23.751855955234504,23.783471086082365,0.9726579477942011,0.9914047725532343
uniform,scenario_k5_004,5,19.82534901421549,22.012306432556027,0.9810879108442466,0.9205304861544042
uniform,scenario_k5_005,5,14.53962094882214,16.707980762462284,1.0,0.9286621197649918
uniform,scenario_k5_006,5,22.507515104773912,22.51475772347999,1.0,0.9998269525523025
uniform,scenario_k5_007,5,11.581712165592936,13.187885356032595,1.0,0.9376749766179914
uniform,scenario_k5_008,5,26.5558688841009,28.916448973743858,0.9778750286056704,0.9148232980655275
uniform,scenario_k5_009,5,17.450383403405066,16.24345532363554,0.9708428001114429,0.9753478185726767
uniform,scenario_k5_010,5,15.931898580662207,15.931898580662207,0.9962862779273063,0.9962862779273063
uniform,scenario_k5_011,5,25.990859461100385,26.042652042999833,0.9837728602388093,0.9824689151513858
uniform,scenario_k5_012,5,26.927043719924246,29.174698557474898,0.975172828478414,0.918471608253289
uniform,scenario_k5_013,5,20.884308784987063,21.47947532011428,0.9793070311087706,0.9048002437617216
uniform,scenario_k5_014,5,22.421383119546938,22.421383119546938,0.9077832380855214,0.9077832380855214
uniform,scenario_k5_015,5,25.469659900089063,25.530357319299178,0.9734445836650671,0.9911672669958767
uniform,scenario_k5_016,5,14.438080439934415,16.78234696598785,0.9985820676021447,0.9186920408931873
uniform,scenario_k5_017,5,22.862847572565805,22.92994659496168,0.9739282657422366,0.9012856701186606
uniform,scenario_k5_018,5,18.926477070837922,18.13500178834261,0.9769124954069496,0.9995929310824726
uniform,scenario_k5_019,5,29.796088091369473,29.87711204612684,0.9914942025484659,0.9283014011372939
