case,service,fault_type,capability_id,capability,magnitude,value_per_min,weighted_magnitude
re2tt_ts-auth-service_loss_3,ts-auth-service,loss,travel_insurance,Travel Insurance / Assurance,0.0,25.0,0.0
re2tt_ts-auth-service_loss_3,ts-auth-service,loss,contact_management,Contact Management,0.0,20.0,0.0
re2tt_ts-auth-service_loss_3,ts-auth-service,loss,food_ordering,Food Ordering,0.0,15.0,0.0
re2tt_ts-auth-service_loss_3,ts-auth-service,loss,admin_configuration,Admin Configuration,0.0,5.0,0.0
re2tt_ts-auth-service_mem_1,ts-auth-service,mem,ticket_reservation,Ticket Reservation,0.4455128205128205,100.0,44.55128205128205
re2tt_ts-auth-service_mem_1,ts-auth-service,mem,payment_processing,Payment Processing,0.0,100.0,0.0
re2tt_ts-auth-service_mem_1,ts-auth-service,mem,user_authentication,User Authentication,0.9446391177266876,70.0,66.12473824086814
re2tt_ts-auth-service_mem_1,ts-auth-service,mem,trip_search,Trip Search,0.1636391812487894,60.0,9.818350874927365
re2tt_ts-auth-service_mem_1,ts-auth-service,mem,order_management,Order Management,0.8276438290761519,40.0,33.105753163046074
re2tt_ts-auth-service_mem_1,ts-auth-service,mem,baggage_consignment,Baggage Consignment,0.0,30.0,0.0
re2tt_ts-auth-service_mem_1,ts-auth-service,mem,travel_insurance,Travel Insurance / Assurance,0.0,25.0,0.0
re2tt_ts-auth-service_mem_1,ts-auth-service,mem,contact_management,Contact Management,0.0,20.0,0.0
re2tt_ts-auth-service_mem_1,ts-auth-service,mem,food_ordering,Food Ordering,0.0,15.0,0.0
re2tt_ts-auth-service_mem_1,ts-auth-service,mem,admin_configuration,Admin Configuration,0.0,5.0,0.0
re2tt_ts-auth-service_mem_2,ts-auth-service,mem,ticket_reservation,Ticket Reservation,0.0,100.0,0.0
re2tt_ts-auth-service_mem_2,ts-auth-service,mem,payment_processing,Payment Processing,0.0,100.0,0.0
re2tt_ts-auth-service_mem_2,ts-auth-service,mem,user_authentication,User Authentication,0.942199950029404,70.0,65.95399650205829
re2tt_ts-auth-service_mem_2,ts-auth-service,mem,trip_search,Trip Search,0.361754035438246,60.0,21.705242126294763
re2tt_ts-auth-service_mem_2,ts-auth-service,mem,order_management,Order Management,0.6679545454545455,40.0,26.71818181818182
re2tt_ts-auth-service_mem_2,ts-auth-service,mem,baggage_consignment,Baggage Consignment,0.0,30.0,0.0
re2tt_ts-auth-service_mem_2,ts-auth-service,mem,travel_insurance,Travel Insurance / Assurance,0.0,25.0,0.0
re2tt_ts-auth-service_mem_2,ts-auth-service,mem,contact_management,Contact Management,0.0,20.0,0.0
re2tt_ts-auth-service_mem_2,ts-auth-service,mem,food_ordering,Food Ordering,0.0,15.0,0.0
re2tt_ts-auth-service_mem_2,ts-auth-service,mem,admin_configuration,Admin Configuration,0.4254803675856307,5.0,2.1274018379281534
re2tt_ts-auth-service_mem_3,ts-auth-service,mem,ticket_reservation,Ticket Reservation,0.0,100.0,0.0
re2tt_ts-auth-service_mem_3,ts-auth-service,mem,payment_processing,Payment Processing,0.0,100.0,0.0
re2tt_ts-auth-service_mem_3,ts-auth-service,mem,user_authentication,User Authentication,0.9179215644257654,70.0,64.25450950980358
re2tt_ts-auth-service_mem_3,ts-auth-service,mem,trip_search,Trip Search,0.0,60.0,0.0
re2tt_ts-auth-service_mem_3,ts-auth-service,mem,order_management,Order Management,0.9793111841304613,40.0,39.17244736521845
re2tt_ts-auth-service_mem_3,ts-auth-service,mem,baggage_consignment,Baggage Consignment,0.0,30.0,0.0
re2tt_ts-auth-service_mem_3,ts-auth-service,mem,travel_insurance,Travel Insurance / Assurance,0.0,25.0,0.0
re2tt_ts-auth-service_mem_3,ts-auth-service,mem,contact_management,Contact Management,0.0,20.0,0.0
re2tt_ts-auth-service_mem_3,ts-auth-service,mem,food_ordering,Food Ordering,0.0,15.0,0.0
re2tt_ts-auth-service_mem_3,ts-auth-service,mem,admin_configuration,Admin Configuration,0.0,5.0,0.0
re2tt_ts-auth-service_socket_1,ts-auth-service,socket,ticket_reservation,Ticket Reservation,0.4343501326259946,100.0,43.43501326259946
re2tt_ts-auth-service_socket_1,ts-auth-service,socket,payment_processing,Payment Processing,0.0,100.0,0.0
re2tt_ts-auth-service_socket_1,ts-auth-service,socket,user_authentication,User Authentication,0.9545962554694732,70.0,66.82173788286313
re2tt_ts-auth-service_socket_1,ts-auth-service,socket,trip_search,Trip Search,0.0,60.0,0.0
re2tt_ts-auth-service_socket_1,ts-auth-service,socket,order_management,Order Management,0.946727898966705,40.0,37.869115958668196
re2tt_ts-auth-service_socket_1,ts-auth-service,socket,baggage_consignment,Baggage Consignment,0.0,30.0,0.0
re2tt_ts-auth-service_socket_1,ts-auth-service,socket,travel_insurance,Travel Insurance / Assurance,0.0,25.0,0.0
re2tt_ts-auth-service_socket_1,ts-auth-service,socket,contact_management,Contact Management,0.0,20.0,0.0
re2tt_ts-auth-service_socket_1,ts-auth-service,socket,food_ordering,Food Ordering,0.0,15.0,0.0
re2tt_ts-auth-service_socket_1,ts-auth-service,socket,admin_configuration,Admin Configuration,0.0,5.0,0.0
re2tt_ts-auth-service_socket_2,ts-auth-service,socket,ticket_reservation,Ticket Reservation,0.0,100.0,0.0
re2tt_ts-auth-service_socket_2,ts-auth-service,socket,payment_processing,Payment Processing,0.0,100.0,0.0
re2tt_ts-auth-service_socket_2,ts-auth-service,socket,user_authentication,User Authentication,0.90910782367995,70.0,63.6375476575965
re2tt_ts-auth-service_socket_2,ts-auth-service,socket,trip_search,Trip Search,0.2094960669775898,60.0,12.569764018655388
re2tt_ts-auth-service_socket_2,ts-auth-service,socket,order_management,Order Management,0.94,40.0,37.599999999999994
re2tt_ts-auth-service_socket_2,ts-auth-service,socket,baggage_consignment,Baggage Consignment,0.0,30.0,0.0
re2tt_ts-auth-service_socket_2,ts-auth-service,socket,travel_insurance,Travel Insurance / Assurance,0.0,25.0,0.0
re2tt_ts-auth-service_socket_2,ts-auth-service,socket,contact_management,Contact Management,0.0,20.0,0.0
re2tt_ts-auth-service_socket_2,ts-auth-service,socket,food_ordering,Food Ordering,0.0,15.0,0.0
re2tt_ts-auth-service_socket_2,ts-auth-service,socket,admin_configuration,Admin Configuration,0.0,5.0,0.0
re2tt_ts-auth-service_socket_3,ts-auth-service,socket,ticket_reservation,Ticket Reservation,0.0,100.0,0.0
re2tt_ts-auth-service_socket_3,ts-auth-service,socket,payment_processing,Payment Processing,0.0,100.0,0.0
re2tt_ts-auth-service_socket_3,ts-auth-service,socket,user_authentication,User Authentication,0.9956678022171872,70.0,69.6967461552031
re2tt_ts-auth-service_socket_3,ts-auth-service,socket,trip_search,Trip Search,0.0,60.0,0.0
re2tt_ts-auth-service_socket_3,ts-auth-service,socket,order_management,Order Management,0.4926342072409488,40.0,19.705368289637953
re2tt_ts-auth-service_socket_3,ts-auth-service,socket,baggage_consignment,Baggage Consignment,0.0,30.0,0.0
re2tt_ts-auth-service_socket_3,ts-auth-service,socket,travel_insurance,Travel Insurance / Assurance,0.0,25.0,0.0
re2tt_ts-auth-service_socket_3,ts-auth-service,socket,contact_management,Contact Management,0.0,20.0,0.0
re2tt_ts-auth-service_socket_3,ts-auth-service,socket,food_ordering,Food Ordering,0.0,15.0,0.0
re2tt_ts-auth-service_socket_3,ts-auth-service,socket,admin_configuration,Admin Configuration,0.0,5.0,0.0
re2tt_ts-order-service_cpu_1,ts-order-service,cpu,ticket_reservation,Ticket Reservation,0.0,100.0,0.0
re2tt_ts-order-service_cpu_1,ts-order-service,cpu,payment_processing,Payment Processing,0.0,100.0,0.0
re2tt_ts-order-service_cpu_1,ts-order-service,cpu,user_authentication,User Authentication,0.0,70.0,0.0
re2tt_ts-order-service_cpu_1,ts-order-service,cpu,trip_search,Trip Search,0.0,60.0,0.0
re2tt_ts-order-service_cpu_1,ts-order-service,cpu,order_management,Order Management,0.965,40.0,38.6
re2tt_ts-order-service_cpu_1,ts-order-service,cpu,baggage_consignment,Baggage Consignment,0.0,30.0,0.0
re2tt_ts-order-service_cpu_1,ts-order-service,cpu,travel_insurance,Travel Insurance / Assurance,0.0,25.0,0.0
re2tt_ts-order-service_cpu_1,ts-order-service,cpu,contact_management,Contact Management,0.0,20.0,0.0
re2tt_ts-order-service_cpu_1,ts-order-service,cpu,food_ordering,Food Ordering,0.0,15.0,0.0
re2tt_ts-order-service_cpu_1,ts-order-service,cpu,admin_configuration,Admin Configuration,0.0,5.0,0.0
re2tt_ts-order-service_cpu_2,ts-order-service,cpu,ticket_reservation,Ticket Reservation,0.9384741591468416,100.0,93.84741591468416
re2tt_ts-order-service_cpu_2,ts-order-service,cpu,payment_processing,Payment Processing,0.2497271073377804,100.0,24.97271073377804
re2tt_ts-order-service_cpu_2,ts-order-service,cpu,user_authentication,User Authentication,0.0,70.0,0.0
re2tt_ts-order-service_cpu_2,ts-order-service,cpu,trip_search,Trip Search,0.4467002327973579,60.0,26.80201396784147
re2tt_ts-order-service_cpu_2,ts-order-service,cpu,order_management,Order Management,0.9993444772205836,40.0,39.97377908882334
re2tt_ts-order-service_cpu_2,ts-order-service,cpu,baggage_consignment,Baggage Consignment,0.0,30.0,0.0
re2tt_ts-order-service_cpu_2,ts-order-service,cpu,travel_insurance,Travel Insurance / Assurance,0.0,25.0,0.0
re2tt_ts-order-service_cpu_2,ts-order-service,cpu,contact_management,Contact Management,0.0,20.0,0.0
re2tt_ts-order-service_cpu_2,ts-order-service,cpu,food_ordering,Food Ordering,0.0,15.0,0.0
re2tt_ts-order-service_cpu_2,ts-order-service,cpu,admin_configuration,Admin Configuration,0.0,5.0,0.0
re2tt_ts-order-service_cpu_3,ts-order-service,cpu,ticket_reservation,Ticket Reservation,0.9906417112299466,100.0,99.06417112299467
re2tt_ts-order-service_cpu_3,ts-order-service,cpu,payment_processing,Payment Processing,0.4676552363299351,100.0,46.765523632993514
re2tt_ts-order-service_cpu_3,ts-order-service,cpu,user_authentication,User Authentication,0.0,70.0,0.0
re2tt_ts-order-service_cpu_3,ts-order-service,cpu,trip_search,Trip Search,0.4833564493758668,60.0,29.001386962552008
re2tt_ts-order-service_cpu_3,ts-order-service,cpu,order_management,Order Management,0.942155009451796,40.0,37.68620037807184
re2tt_ts-order-service_cpu_3,ts-order-service,cpu,baggage_consignment,Baggage Consignment,0.0,30.0,0.0
re2tt_ts-order-service_cpu_3,ts-order-service,cpu,travel_insurance,Travel Insurance / Assurance,0.0,25.0,0.0
re2tt_ts-order-service_cpu_3,ts-order-service,cpu,contact_management,Contact Management,0.0,20.0,0.0
re2tt_ts-order-service_cpu_3,ts-order-service,cpu,food_ordering,Food Ordering,0.0,15.0,0.0
re2tt_ts-order-service_cpu_3,ts-order-service,cpu,admin_configuration,Admin Configuration,0.0,5.0,0.0
re2tt_ts-order-service_delay_1,ts-order-service,delay,ticket_reservation,Ticket Reservation,1.0,100.0,100.0
re2tt_ts-order-service_delay_1,ts-order-service,delay,payment_processing,Payment Processing,0.5,100.0,50.0
re2tt_ts-order-service_delay_1,ts-order-service,delay,user_authentication,User Authentication,0.0,70.0,0.0
re2tt_ts-order-service_delay_1,ts-order-service,delay,trip_search,Trip Search,1.0,60.0,60.0
re2tt_ts-order-service_delay_1,ts-order-service,delay,order_management,Order Management,1.0,40.0,40.0
re2tt_ts-order-service_delay_1,ts-order-service,delay,baggage_consignment,Baggage Consignment,0.0,30.0,0.0
re2tt_ts-order-service_delay_1,ts-order-service,delay,travel_insurance,Travel Insurance / Assurance,0.0,25.0,0.0
re2tt_ts-order-service_delay_1,ts-order-service,delay,contact_management,Contact Management,0.0,20.0,0.0
re2tt_ts-order-service_delay_1,ts-order-service,delay,food_ordering,Food Ordering,0.0,15.0,0.0
re2tt_ts-order-service_delay_1,ts-order-service,delay,admin_configuration,Admin Configuration,0.0,5.0,0.0
re2tt_ts-order-service_delay_2,ts-order-service,delay,ticket_reservation,Ticket Reservation,0.0,100.0,0.0
re2tt_ts-order-service_delay_2,ts-order-service,delay,payment_processing,Payment Processing,0.5800324675324675,100.0,58.00324675324675
re2tt_ts-order-service_delay_2,ts-order-service,delay,user_authentication,User Authentication,0.0,70.0,0.0
re2tt_ts-order-service_delay_2,ts-order-service,delay,trip_search,Trip Search,0.0,60.0,0.0
re2tt_ts-order-service_delay_2,ts-order-service,delay,order_management,Order Management,1.0,40.0,40.0
re2tt_ts-order-service_delay_2,ts-order-service,delay,baggage_consignment,Baggage Consignment,0.0,30.0,0.0
re2tt_ts-order-service_delay_2,ts-order-service,delay,travel_insurance,Travel Insurance / Assurance,0.0,25.0,0.0
re2tt_ts-order-service_delay_2,ts-order-service,delay,contact_management,Contact Management,0.0,20.0,0.0
re2tt_ts-order-service_delay_2,ts-order-service,delay,food_ordering,Food Ordering,0.0,15.0,0.0
re2tt_ts-order-service_delay_2,ts-order-service,delay,admin_configuration,Admin Configuration,0.0,5.0,0.0
re2tt_ts-order-service_delay_3,ts-order-service,delay,ticket_reservation,Ticket Reservation,0.0,100.0,0.0
re2tt_ts-order-service_delay_3,ts-order-service,delay,payment_processing,Payment Processing,0.585040650406504,100.0,58.5040650406504
re2tt_ts-order-service_delay_3,ts-order-service,delay,user_authentication,User Authentication,0.0,70.0,0.0
re2tt_ts-order-service_delay_3,ts-order-service,delay,trip_search,Trip Search,0.0,60.0,0.0
re2tt_ts-order-service_delay_3,ts-order-service,delay,order_management,Order Management,0.9897836538461536,40.0,39.591346153846146
re2tt_ts-order-service_delay_3,ts-order-service,delay,baggage_consignment,Baggage Consignment,0.0,30.0,0.0
re2tt_ts-order-service_delay_3,ts-order-service,delay,travel_insurance,Travel Insurance / Assurance,0.0,25.0,0.0
re2tt_ts-order-service_delay_3,ts-order-service,delay,contact_management,Contact Management,0.0,20.0,0.0
re2tt_ts-order-service_delay_3,ts-order-service,delay,food_ordering,Food Ordering,0.0,15.0,0.0
re2tt_ts-order-service_delay_3,ts-order-service,delay,admin_configuration,Admin Configuration,0.0,5.0,0.0
re2tt_ts-order-service_disk_1,ts-order-service,disk,ticket_reservation,Ticket Reservation,0.578125,100.0,57.8125
re2tt_ts-order-service_disk_1,ts-order-service,disk,payment_processing,Payment Processing,0.0,100.0,0.0
re2tt_ts-order-service_disk_1,ts-order-service,disk,user_authentication,User Authentication,0.0,70.0,0.0
re2tt_ts-order-service_disk_1,ts-order-service,disk,trip_search,Trip Search,0.3169230769230768,60.0,19.01538461538461
